"KEY","en","notes","sp","fr","de","it","pt-br","ru","ko","ja","zh"
"ABILITY_PSYFLUTTER2_DESC","Teleport exactly three tiles away.
[s:.7](This spell costs less.)[/s]","","Se teletransporta a exactamente 3 casillas de distancia.
[s:.7](Este hechizo cuesta menos).[/s]","Vous vous téléportez à exactement 3&nbsp;cases de distance.
[s:.7](Coût réduit.)[/s]","Teleportiere dich genau drei Felder.
[s:.7](Dieser Zauber kostet weniger.)[/s]","Ti teletrasporti esattamente a tre caselle di distanza.
[s:.7](Quest'incantesimo costa meno.)[/s]","Teletransporte-se para exatamente 3 espaços de distância.
[s:.7](Este encantamento custa menos.)[/s]","Телепортироваться ровно на три клетки.
[s:.7](Это заклинание стоит меньше.)[/s]","","",""
"ABILITY_MAGNETPULL_NAME","Gravity Pull","","Atracción gravitacional","Attraction gravitationnelle","Gravitationszug","Attrazione Gravitazionale","Atração Gravitacional","Гравитационное притяжение","","",""
"ABILITY_MAGNETPULL_DESC","Pull units toward a tile within range 5.","","Atrae a las unidades hacia una casilla en un alcance de 5 casillas.","Vous attirez les unités vers une case dans un rayon de 5&nbsp;cases.","Ziehe Einheiten in die Richtung eines Felds innerhalb von 5&nbsp;Feldern.","Attiri le unità verso una casella entro un raggio d'azione 5.","Puxe unidades na direção de um espaço em alcance 5.","Притянуть юнитов к клетке в радиусе 5.","","",""
"ABILITY_MAGNETPULL2_DESC","Pull units in a larger area toward a tile at infinite range.","","Atrae a las unidades en un área más amplia hacia una casilla con alcance ilimitado.","Vous attirez les unités vers une case dans une vaste zone. Portée infinie.","Ziehe Einheiten in einem größeren Bereich in die Richtung eines beliebigen Felds.","Attiri le unità in un'area più ampia verso una casella a raggio d'azione infinito.","Puxe unidades em uma área maior na direção de um espaço com alcance infinito.","Притянуть юнитов на большей площади к клетке с бесконечной дальностью.","","",""
"ABILITY_MINDBLAST_NAME","Mindblast","","Explosión mental","Explosion mentale","Gedankenschlag","Esplosione Mentale","Explosão Mental","Взрыв разума","","",""
"ABILITY_MINDBLAST_DESC","Push away each unit near you. This inflicts Madness and has a small chance to inflict Stun.","","Aleja a todas las unidades que estén cerca de esta. Esto inflige locura y tiene una pequeña probabilidad de infligir aturdimiento.","Vous repoussez toutes les unités près de vous. Inflige Folie et petite chance d'infliger Étourdissement.","Stoße jede Einheit in deiner Nähe zurück. Du verursachst bei ihnen Wahnsinn und mit geringer Wahrscheinlichkeit Betäubung.","Spingi via ogni unità nelle tue vicinanze. Infliggi Follia e hai una piccola probabilità di infliggere Stordimento.","Afaste todas as unidades próximas de você. Isto aplica insanidade e possui uma pequena chance de atordoar.","Оттолкнуть каждого юнита рядом с вами. Накладывает Безумие и имеет небольшой шанс наложить Оглушение.","","",""
"ABILITY_MINDBLAST2_DESC","Push away each unit near a target area. This inflicts Madness and has a small chance to inflict Stun.","","Aleja a todas las unidades que estén cerca de un área objetivo. Esto inflige locura y tiene una pequeña probabilidad de infligir aturdimiento.","Vous repoussez toutes les unités près de la zone ciblée. Inflige Folie et petite chance d'infliger Étourdissement.","Stoße jede Einheit in der Nähe eines Zielbereichs zurück. Du verursachst bei ihnen Wahnsinn und mit geringer Wahrscheinlichkeit Betäubung.","Spingi via ogni unità nelle vicinanze di un'area bersaglio. Infliggi Follia e hai una piccola probabilità di infliggere Stordimento.","Afaste todas as unidades próximas de uma área alvo. Isto aplica insanidade e possui uma pequena chance de atordoar.","Оттолкнуть каждого юнита рядом с целевой областью. Накладывает Безумие и имеет небольшой шанс наложить Оглушение.","","",""
"ABILITY_PSYCHICCHOKE_NAME","Psychic Choke","","Asfixia psíquica","Strangulation psychique","Psychowürger","Soffocamento Psichico","Enforcamento Psíquico","Психическое удушение","","",""
"ABILITY_PSYCHICCHOKE_DESC","Deal damage to and inflict Bruise on a unit within your line of sight.","","Le inflige daño y moratón a una unidad en su campo visual.","Vous infligez des dégâts et Contusion à une unité dans votre ligne de mire.","Verursache Schaden und Beulen bei einer Einheit in deiner Sichtlinie.","Infliggi danno e Livido a un'unità nel tuo campo visivo.","Cause dano e aplique contusão em uma unidade dentro do seu campo de visão.","Нанести урон и наложить Ушиб на юнита в вашей линии обзора.","","",""
"ABILITY_PSYCHICCHOKE2_DESC","Deal damage to and inflict Bruise on a unit within your line of sight. This damage counts as physical damage and scales with [img:str].","","Le inflige daño y moratón a una unidad en su campo visual. Este daño cuenta como daño físico y aumenta con su [img:str].","Vous infligez des dégâts et Contusion à une unité dans votre ligne de mire. Les dégâts sont de type physique et augmentent avec [img:str].","Verursache Schaden und Beulen bei einer Einheit in deiner Sichtlinie. Der Schaden ist physisch und abhängig von deiner [img:str].","Infliggi danno e Livido a un'unità nel tuo campo visivo. Questo danno è di tipo fisico ed è proporzionale alla [img:str].","Cause dano e aplique contusão em uma unidade dentro do seu campo de visão. Esse dano conta como dano físico e aumenta de acordo com sua [img:str].","Нанести урон и наложить Ушиб на юнита в вашей линии обзора. Этот урон считается физическим и масштабируется от [img:str].","","",""
"ABILITY_SKYSHATTER_NAME","Shatter the Sky","","Destrucción del cielo","Explosion céleste","Himmelsschmettern","Cielo in Frantumi","Céu Estilhaçado","Расколоть небо","","",""
"ABILITY_SKYSHATTER_DESC","Create floating glass shards on a tile within your line of sight.","","Crea fragmentos de cristal flotantes en una casilla en su campo visual.","Vous faites apparaître des éclats de verre flottant sur une case dans votre ligne de mire.","Erschaffe schwebende Scherben auf einem Feld in deiner Sichtlinie.","Crei dei frammenti di vetro fluttuanti su una casella all'interno del tuo campo visivo.","Crie espaços de vidro flutuante em um espaço dentro do seu campo de visão.","Создать парящие стеклянные осколки на клетке в вашей линии обзора.","","",""
"ABILITY_SKYSHATTER2_DESC","Create floating glass shards in an area within your line of sight.","","Crea fragmentos de cristal flotantes en un área en su campo visual.","Vous faites apparaître des éclats de verre flottant dans une zone dans votre ligne de mire.","Erschaffe schwebende Scherben in einem bestimmten Bereich in deiner Sichtlinie.","Crei dei frammenti di vetro fluttuanti in un'area all'interno del tuo campo visivo.","Crie espaços de vidro flutuante em uma área dentro do seu campo de visão.","Создать парящие стеклянные осколки в области в вашей линии обзора.","","",""
"ABILITY_SUPERNOVA_NAME","Supernova","","Supernova","Supernova","Supernova","Supernova","Supernova","Сверхновая","","",""
"ABILITY_SUPERNOVA_DESC","Deal damage to and inflict Blind on every unit within your line of sight.","","Inflige daño y ceguera a cada unidad en su campo visual.","Vous infligez des dégâts et Cécité à toutes les unités dans votre ligne de mire.","Verursache Schaden und Blindheit bei Einheiten in deiner Sichtlinie.","Infliggi danno e causi Accecamento a ogni unità nel tuo campo visivo.","Cause dano e aplique cegueira em todas as unidades dentro do seu campo de visão.","Нанести урон и наложить Слепоту на каждого юнита в вашей линии обзора.","","",""
"ABILITY_SUPERNOVA2_DESC","Deal damage to and inflict Blind on every unit within your line of sight, excluding your allies.","","Inflige daño y ceguera a cada unidad en su campo visual, a excepción de los aliados.","Vous infligez des dégâts et Cécité à toutes les unités dans votre ligne de mire, sauf les unités alliées.","Verursache Schaden und Blindheit bei Einheiten in deiner Sichtlinie, außer deinen Verbündeten.","Infliggi danno e causi Accecamento a ogni unità nel tuo campo visivo, esclusi i tuoi alleati.","Cause dano e aplique cegueira em todas as unidades dentro do seu campo de visão, excluindo seus aliados.","Нанести урон и наложить Слепоту на каждого юнита в вашей линии обзора, кроме союзников.","","",""
"ABILITY_ALTERDNA_NAME","Alter DNA","","Alteración de ADN","ADN altéré","DNA verändern","Alterazione del DNA","Alterar DNA","Изменить ДНК","","",""
"ABILITY_ALTERDNA_DESC","Spend all your mana. Give a unit within your line of sight a random stat up for every 3 mana spent (rounded up). Give enemies random stat downs instead.","","Gasta todo el maná. Otorga a una unidad en su campo visual un aumento de un atributo al azar por cada 3 de maná gastado (redondeado al alza). A los enemigos les reduce un atributo al azar.","Vous dépensez tout votre mana. Vous augmentez une stat au hasard d'une unité dans votre ligne de mire par tranche de 3&nbsp;mana dépensés (arrondi à l'unité supérieure). Diminue les stats au hasard des ennemis.","Gib all dein Mana aus. Verleihe einer Einheit in deiner Sichtlinie pro 3 ausgegebenes Mana (aufgerundet) einen Bonus auf ein zufälliges Attribut. Gegner erleiden stattdessen Malusse.","Spendi tutto il tuo mana. Fornisci a un'unità nel tuo campo visivo un aumento causale di una statistica per ogni 3 mana spesi (arrotondati per eccesso). Ai nemici, invece, infliggi una diminuzione casuale di una statistica.","Gaste toda a sua mana. Conceda a uma unidade dentro do seu campo de visão um atributo aleatório aumentado para cada 3 pontos de mana gastos (arredondados para cima). Para inimigos, aplique atributos aleatórios diminuídos.","Потратить всю Ману. Дать юниту в вашей линии обзора случайное повышение характеристики за каждые 3 потраченной Маны (с округлением вверх). Врагам вместо этого снижает случайные характеристики.","","",""
"ABILITY_ALTERDNA2_DESC","Spend all your mana. Give a unit within your line of sight a random stat up for every 2 mana spent (rounded up). Give enemies random stat downs instead.","","Gasta todo el maná. Otorga a una unidad en su campo visual un aumento de un atributo al azar por cada 2 de maná gastado (redondeado al alza). A los enemigos les reduce un atributo al azar.","Vous dépensez tout votre mana. Vous augmentez une stat au hasard d'une unité dans votre ligne de mire par tranche de 2&nbsp;mana dépensés (arrondi à l'unité supérieure). Diminue les stats au hasard des ennemis.","Gib all dein Mana aus. Verleihe einer Einheit in deiner Sichtlinie pro 2 ausgegebenes Mana (aufgerundet) einen Bonus auf ein zufälliges Attribut. Gegner erleiden stattdessen Malusse.","Spendi tutto il tuo mana. Fornisci a un'unità nell tuo campo visivo un aumento causale di una statistica per ogni 2 mana spesi (arrotondati per eccesso). Ai nemici, invece, infliggi una diminuzione casuale di una statistica.","Gaste toda a sua mana. Conceda a uma unidade dentro do seu campo de visão um atributo aleatório aumentado para cada 2 pontos de mana gastos (arredondados para cima). Para inimigos, aplique atributos aleatórios diminuídos.","Потратить всю Ману. Дать юниту в вашей линии обзора случайное повышение характеристики за каждые 2 потраченной Маны (с округлением вверх). Врагам вместо этого снижает случайные характеристики.","","",""
"ABILITY_FLICKER_NAME","Flicker","","Parpadeo","Vacillement","Flimmern","Sfarfallio","Tremulação","Мерцание","","",""
"ABILITY_FLICKER_DESC","Teleport two tiles away. Displace any units you teleport into.","","Se teletransporta a 2 casillas de distancia. Desplaza a las unidades sobre las que se teletransporta.","Vous vous téléportez à 2&nbsp;cases de distance. Vous déplacez les unités qui sont sur la case de destination.","Teleportiere dich zwei Felder. Dränge Einheiten weg, in die du dich teleportierst.","Ti teletrasporti a due caselle di distanza. Sposti tutte le unità dalla casella in cui ti teletrasporti.","Teletransporte-se para dois espaços de distância. Desloque qualquer unidade que esteja no espaço para onde você se teletransportar.","Телепортироваться на две клетки. Вытеснить всех юнитов на месте телепортации.","","",""
